Age,Gender,Height,Weight,BMI,BMI Category
21.0,Female,1.62,64.0,24.38652644413961,Normal
21.0,Female,1.52,56.0,24.238227146814403,Normal
23.0,Male,1.8,77.0,23.76543209876543,Normal
27.0,Male,1.8,87.0,26.85185185185185,Overweight
22.0,Male,1.78,89.8,28.34238101249842,Overweight
29.0,Male,1.62,53.0,20.195092211553114,Normal
23.0,Female,1.5,55.0,24.444444444444443,Normal
22.0,Male,1.64,53.0,19.705532421177875,Normal
24.0,Male,1.78,64.0,20.199469763918696,Normal
22.0,Male,1.72,68.0,22.985397512168742,Normal
26.0,Male,1.85,105.0,30.67932797662527,Obese
21.0,Female,1.72,80.0,27.041644131963228,Overweight
22.0,Male,1.65,56.0,20.569329660238754,Normal
41.0,Male,1.8,99.0,30.555555555555554,Obese
23.0,Male,1.77,60.0,19.15158479364167,Normal
22.0,Female,1.7,66.0,22.837370242214536,Normal
27.0,Male,1.93,102.0,27.383285457327716,Overweight
29.0,Female,1.53,78.0,33.320517749583495,Obese
30.0,Female,1.71,82.0,28.042816593139772,Overweight
23.0,Female,1.65,70.0,25.71166207529844,Overweight
22.0,Male,1.65,80.0,29.384756657483933,Overweight
52.0,Female,1.69,87.0,30.461118308182492,Obese
22.0,Female,1.65,60.0,22.03856749311295,Normal
22.0,Female,1.6,82.0,32.03124999999999,Obese
21.0,Male,1.85,68.0,19.86851716581446,Normal
20.0,Male,1.6,50.0,19.531249999999996,Normal
21.0,Male,1.7,65.0,22.49134948096886,Normal
23.0,Female,1.6,52.0,20.312499999999996,Normal
19.0,Male,1.75,76.0,24.816326530612244,Normal
23.0,Male,1.68,70.0,24.801587301587304,Normal
29.0,Male,1.77,83.0,26.493025631204315,Overweight
31.0,Female,1.58,68.0,27.239224483255885,Overweight
24.0,Female,1.77,76.0,24.258674071946118,Normal
39.0,Male,1.79,90.0,28.089010954714272,Overweight
22.0,Male,1.65,62.0,22.77318640955005,Normal
21.0,Female,1.5,65.0,28.88888888888889,Overweight
22.0,Female,1.56,49.0,20.134779750164363,Normal
21.0,Female,1.6,48.0,18.749999999999996,Normal
23.0,Male,1.65,67.0,24.609733700642796,Normal
21.0,Female,1.75,88.0,28.73469387755102,Overweight
21.0,Female,1.67,75.0,26.89232313815483,Overweight
23.0,Male,1.68,60.0,21.258503401360546,Normal
21.0,Female,1.66,64.0,23.225431847873423,Normal
21.0,Male,1.66,62.0,22.49963710262738,Normal
21.0,Male,1.81,80.0,24.41927902078691,Normal
21.0,Female,1.53,65.0,27.76709812465291,Overweight
21.0,Male,1.82,72.0,21.736505252988767,Normal
21.0,Male,1.75,72.0,23.510204081632654,Normal
20.0,Female,1.66,60.0,21.773842357381334,Normal
21.0,Female,1.55,50.0,20.811654526534856,Normal
21.0,Female,1.61,54.5,21.025423401874924,Normal
20.0,Female,1.5,44.0,19.555555555555557,Normal
23.0,Female,1.64,52.0,19.333729922665082,Normal
23.0,Female,1.63,55.0,20.70081674131507,Normal
22.0,Female,1.6,55.0,21.484374999999996,Normal
23.0,Male,1.68,62.0,21.9671201814059,Normal
22.0,Male,1.7,70.0,24.221453287197235,Normal
21.0,Male,1.64,65.0,24.167162403331353,Normal
17.0,Female,1.65,67.0,24.609733700642796,Normal
20.0,Male,1.76,55.0,17.75568181818182,Underweight
21.0,Female,1.55,49.0,20.39542143600416,Normal
20.0,Male,1.65,58.0,21.30394857667585,Normal
22.0,Male,1.67,62.0,22.230987127541326,Normal
22.0,Male,1.68,55.0,19.48696145124717,Normal
21.0,Female,1.66,57.0,20.685150239512268,Normal
21.0,Female,1.62,69.0,26.291723822588015,Overweight
23.0,Male,1.8,90.0,27.777777777777775,Overweight
23.0,Male,1.65,95.0,34.894398530762174,Obese
30.0,Male,1.76,112.0,36.15702479338843,Obese
23.0,Male,1.8,60.0,18.51851851851852,Normal
23.0,Female,1.65,80.0,29.384756657483933,Overweight
22.0,Female,1.67,50.0,17.92821542543655,Underweight
24.0,Female,1.65,60.0,22.03856749311295,Normal
19.0,Male,1.85,65.0,18.991964937910883,Normal
24.0,Male,1.7,85.0,29.411764705882355,Overweight
23.0,Female,1.63,45.0,16.937031879257784,Underweight
24.0,Female,1.6,45.0,17.578124999999996,Underweight
24.0,Female,1.7,80.0,27.68166089965398,Overweight
23.0,Female,1.65,90.0,33.057851239669425,Obese
23.0,Male,1.65,60.0,22.03856749311295,Normal
19.0,Female,1.63,58.0,21.829952199932254,Normal
30.0,Male,1.8,91.0,28.086419753086417,Overweight
23.0,Male,1.67,85.5,30.657248377496504,Obese
19.0,Female,1.6,45.0,17.578124999999996,Underweight
25.0,Male,1.7,83.0,28.719723183391007,Overweight
23.0,Male,1.65,58.5,21.487603305785125,Normal
21.0,Male,1.85,83.0,24.251278305332356,Normal
19.0,Male,1.82,87.0,26.26494384736143,Overweight
22.0,Female,1.65,65.0,23.875114784205696,Normal
29.0,Female,1.7,78.0,26.989619377162633,Overweight
25.0,Female,1.63,93.0,35.00319921713275,Obese
20.0,Female,1.61,64.0,24.690405462752206,Normal
55.0,Male,1.78,84.0,26.511804065143288,Overweight
20.0,Female,1.6,57.0,22.265624999999996,Normal
24.0,Female,1.6,48.0,18.749999999999996,Normal
26.0,Male,1.7,70.0,24.221453287197235,Normal
23.0,Female,1.66,60.0,21.773842357381334,Normal
21.0,Female,1.52,42.0,18.178670360110804,Underweight
21.0,Female,1.52,42.0,18.178670360110804,Underweight
23.0,Male,1.72,70.0,23.661438615467823,Normal
21.0,Female,1.69,63.0,22.058051188683873,Normal
22.0,Male,1.7,66.4,22.975778546712807,Normal
21.0,Female,1.55,57.0,23.725286160249738,Normal
22.0,Female,1.65,58.0,21.30394857667585,Normal
38.0,Female,1.56,80.0,32.87310979618672,Obese
25.0,Female,1.57,55.0,22.313278429145196,Normal
25.0,Female,1.57,55.0,22.313278429145196,Normal
22.0,Male,1.88,90.0,25.46401086464464,Overweight
22.0,Male,1.75,95.0,31.020408163265305,Obese
21.0,Female,1.65,88.0,32.323232323232325,Obese
21.0,Male,1.75,75.0,24.489795918367346,Normal
