Coverage ID,Coverage Year,Coverage Month,Coverage Day
1,2022,12,23
2,2022,9,20
3,2024,12,21
4,2022,7,19
5,2023,6,14
6,2022,6,5
7,2022,12,17
8,2025,3,2
9,2022,6,17
10,2023,6,2
11,2024,6,13
12,2022,5,23
13,2021,3,27
14,2022,7,16
15,2023,3,29
16,2021,3,31
17,2022,3,10
18,2022,5,15
19,2025,3,12
20,2023,2,19
21,2021,9,8
22,2024,8,27
23,2021,3,5
24,2021,10,9
25,2024,6,4
26,2023,11,23
27,2024,3,27
28,2021,2,7
29,2023,6,22
30,2022,11,4
31,2024,10,14
32,2023,11,22
33,2023,8,6
34,2024,3,25
35,2024,1,12
36,2024,10,13
37,2022,8,12
38,2022,6,24
39,2021,4,20
40,2021,1,11
41,2024,3,22
42,2024,3,19
43,2023,12,2
44,2021,6,17
45,2023,7,3
46,2024,12,6
47,2023,1,12
48,2021,10,24
49,2023,12,15
50,2021,2,1
51,2022,9,9
52,2023,9,27
53,2024,4,12
54,2022,4,29
55,2023,1,1
56,2021,11,19
57,2021,4,10
58,2023,3,11
59,2022,5,13
60,2024,11,25
61,2025,1,8
62,2022,10,21
63,2022,11,30
64,2023,12,28
65,2024,5,16
66,2023,3,12
67,2022,11,28
68,2024,11,3
69,2021,1,7
70,2023,12,5
71,2023,11,19
72,2023,11,5
73,2025,3,8
74,2021,9,8
75,2023,11,8
76,2024,8,22
77,2023,4,14
78,2021,4,23
79,2022,1,29
80,2024,7,22
81,2023,2,8
82,2024,9,9
83,2022,10,9
84,2023,2,24
85,2024,11,6
86,2021,1,19
87,2022,3,24
88,2022,3,29
89,2021,6,30
90,2021,8,16
91,2021,4,17
92,2024,5,12
93,2021,2,18
94,2024,12,5
95,2024,7,10
96,2021,12,20
97,2021,8,19
98,2024,8,17
99,2022,2,22
100,2022,12,13
101,2023,10,16
102,2021,1,10
103,2024,7,17
104,2021,6,25
105,2022,10,6
106,2023,2,26
107,2022,3,5
108,2022,2,28
109,2021,2,11
110,2022,4,14
111,2022,1,20
112,2023,8,1
113,2024,9,26
114,2022,12,17
115,2023,5,13
116,2023,5,3
117,2022,11,25
118,2022,2,3
119,2023,2,3
120,2022,8,10
121,2022,4,16
122,2021,12,9
123,2024,3,24
124,2022,6,11
125,2022,6,26
126,2023,7,17
127,2024,3,10
128,2022,9,30
129,2024,4,6
130,2023,4,7
131,2021,9,22
132,2022,12,22
133,2022,6,6
134,2024,8,23
